Altium Designer Pick and Place Locations
C:\Users\Nico GreenLabs\Desktop\GL\Proyectos\Micracel\mTRACK5\Display\HW4_2022\Project Outputs for M5_Display\Pick Place for M5_Display.txt

========================================================================================================================
File Design Information:

Date:       05/04/22
Time:       13:37
Revision:   13184
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                       
D2         1N4148WT               TopLayer    SOD523          1118.110      1299.213      180      "DIODE SWITCHING 80V 125MA SOD523"                
D3         B1100                  TopLayer    SMB             1326.772      1322.835      180      "DIODE SCHOTTKY 100V 1A SMB"                      
Q10        FDN360P                BottomLayer SOT23           767.716       1165.354      180      "MOSFET P 30V 2A SSOT3"                           
L5         100R@100MHz            TopLayer    0603            342.519       1090.551      270      "FERRITE CHIP 100 OHM 1A 0603"                    
L4         100R@100MHz            TopLayer    0603            177.165       972.441       90       "FERRITE CHIP 100 OHM 2A 0603"                    
L3         100R@100MHz            TopLayer    0603            177.165       1094.488      90       "FERRITE CHIP 100 OHM 1A 0603"                    
J26        2111-1X5G00SB          BottomLayer SIP5_MM         98.425        1377.865      270      "PIN HEADER 2.00mm 5POS"                          
J25        2111-1X5G00SB          BottomLayer SIP5_MM         102.362       732.284       90       "PIN HEADER 2.00mm 5POS"                          
D5         USBLC6-2SC6            BottomLayer SOT23-6         224.409       712.598       90       "VERY LOW CAPACITANCE ESD 2 LINES PROTECTION"     
C45        100nF                  BottomLayer 0402            657.480       1014.104      180      "CAP0402 100nF 50V X7R"                           
C44        100nF                  TopLayer    0402            236.220       1078.740      90       "CAP0402 100nF 50V X7R"                           
C43        10nF                   TopLayer    0402            283.465       1078.740      90       "CAP0402 10nF 50V X7R"                            
C42        "2.2uF 6V3"            TopLayer    0402            333.204       1192.913      270      "CAP0402 2.2uF 6V3 X5R"                           
C41        100nF                  TopLayer    0402            283.465       1192.913      90       "CAP0402 100nF 50V X7R"                           
R64        4K7                    BottomLayer 0402            748.032       1014.104      0        "RES0402 4K7 5%"                                  
R63        4K7                    BottomLayer 0402            185.039       1381.890      90       "RES0402 4K7 5%"                                  
J23        HEADER_2x3POS_90º_0.1" TopLayer    SIP3_2_90       2207.905      449.000       0        "TIRA PINES MACHO 2X3 0,1'' 90º"                  
J22        "PIN CABLE"            TopLayer    PIN_CABLE       956.433       405.819       90       "PIN PARA SOLDAR CABLE 1MM"                       
J20        "PIN CABLE"            TopLayer    PIN_CABLE       1693.726      405.819       90       "PIN PARA SOLDAR CABLE 1MM"                       
J15        "PIN CABLE"            TopLayer    PIN_CABLE       1263.369      263.583       90       "PIN PARA SOLDAR CABLE 1MM"                       
J13        "PIN CABLE"            TopLayer    PIN_CABLE       1202.023      405.819       90       "PIN PARA SOLDAR CABLE 1MM"                       
J5         "PIN CABLE"            TopLayer    PIN_CABLE       588.082       405.819       90       "PIN PARA SOLDAR CABLE 1MM"                       
J7         "PIN CABLE"            TopLayer    PIN_CABLE       710.878       405.819       270      "PIN PARA SOLDAR CABLE 1MM"                       
J6         "PIN CABLE"            TopLayer    PIN_CABLE       833.656       405.819       90       "PIN PARA SOLDAR CABLE 1MM"                       
