Altium Designer Pick and Place Locations
C:\Users\Nico GreenLabs\Desktop\GL\Proyectos\Micracel\mTRACK5\Display\HW4_2022\Project Outputs for M5_Display\Pick Place for M5_Display.txt

========================================================================================================================
File Design Information:

Date:       05/04/22
Time:       13:35
Revision:   13184
Variant:    No variations
Units used: mm

Designator Comment                Layer       Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                       
D2         1N4148WT               TopLayer    SOD523          28.4000      33.0000      180      "DIODE SWITCHING 80V 125MA SOD523"                
D3         B1100                  TopLayer    SMB             33.7000      33.6000      180      "DIODE SCHOTTKY 100V 1A SMB"                      
Q10        FDN360P                BottomLayer SOT23           19.5000      29.6000      180      "MOSFET P 30V 2A SSOT3"                           
L5         100R@100MHz            TopLayer    0603            8.7000       27.7000      270      "FERRITE CHIP 100 OHM 1A 0603"                    
L4         100R@100MHz            TopLayer    0603            4.5000       24.7000      90       "FERRITE CHIP 100 OHM 2A 0603"                    
L3         100R@100MHz            TopLayer    0603            4.5000       27.8000      90       "FERRITE CHIP 100 OHM 1A 0603"                    
J26        2111-1X5G00SB          BottomLayer SIP5_MM         2.5000       34.9978      270      "PIN HEADER 2.00mm 5POS"                          
J25        2111-1X5G00SB          BottomLayer SIP5_MM         2.6000       18.6000      90       "PIN HEADER 2.00mm 5POS"                          
D5         USBLC6-2SC6            BottomLayer SOT23-6         5.7000       18.1000      90       "VERY LOW CAPACITANCE ESD 2 LINES PROTECTION"     
C45        100nF                  BottomLayer 0402            16.7000      25.7582      180      "CAP0402 100nF 50V X7R"                           
C44        100nF                  TopLayer    0402            6.0000       27.4000      90       "CAP0402 100nF 50V X7R"                           
C43        10nF                   TopLayer    0402            7.2000       27.4000      90       "CAP0402 10nF 50V X7R"                            
C42        "2.2uF 6V3"            TopLayer    0402            8.4634       30.3000      270      "CAP0402 2.2uF 6V3 X5R"                           
C41        100nF                  TopLayer    0402            7.2000       30.3000      90       "CAP0402 100nF 50V X7R"                           
R64        4K7                    BottomLayer 0402            19.0000      25.7582      0        "RES0402 4K7 5%"                                  
R63        4K7                    BottomLayer 0402            4.7000       35.1000      90       "RES0402 4K7 5%"                                  
J23        HEADER_2x3POS_90º_0.1" TopLayer    SIP3_2_90       56.0808      11.4046      0        "TIRA PINES MACHO 2X3 0,1'' 90º"                  
J22        "PIN CABLE"            TopLayer    PIN_CABLE       24.2934      10.3078      90       "PIN PARA SOLDAR CABLE 1MM"                       
J20        "PIN CABLE"            TopLayer    PIN_CABLE       43.0207      10.3078      90       "PIN PARA SOLDAR CABLE 1MM"                       
J15        "PIN CABLE"            TopLayer    PIN_CABLE       32.0896      6.6950       90       "PIN PARA SOLDAR CABLE 1MM"                       
J13        "PIN CABLE"            TopLayer    PIN_CABLE       30.5314      10.3078      90       "PIN PARA SOLDAR CABLE 1MM"                       
J5         "PIN CABLE"            TopLayer    PIN_CABLE       14.9373      10.3078      90       "PIN PARA SOLDAR CABLE 1MM"                       
J7         "PIN CABLE"            TopLayer    PIN_CABLE       18.0563      10.3078      270      "PIN PARA SOLDAR CABLE 1MM"                       
