Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\FXSVLSQM" ("\NJAAVEHV\FXSVLSQM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic - BSG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CR-1220/HFN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "BAT_CR1220_HORIZONTAL_SOLDABLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "P244-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "CR1220"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "0402"; UniqueID = "\BBQHUKED\PSSLLDPO" ("\BBQHUKED\PSSLLDPO")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "LL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C1005X7R1H104K050BB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CAP0402_100nF_50V_X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5932-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "0402"; UniqueID = "\BBQHUKED\ADMDGZVK" ("\BBQHUKED\ADMDGZVK")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM155R71C104K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CAP0402_0.1uF_16V_X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "490-3261-2-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1uF 16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "1210"; UniqueID = "\BBQHUKED\KFNMHJTC" ("\BBQHUKED\KFNMHJTC")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
